100
0.005	0.005	0
0.015	0.005	0
0.025	0.005	0
0.035	0.005	0
0.045	0.005	0
0.055	0.005	0
0.065	0.005	0
0.075	0.005	0
0.085	0.005	0
0.095	0.005	0
0.005	0.015	0
0.015	0.015	0
0.025	0.015	0
0.035	0.015	0
0.045	0.015	0
0.055	0.015	0
0.065	0.015	0
0.075	0.015	0
0.085	0.015	0
0.095	0.015	0
0.005	0.025	0
0.015	0.025	0
0.025	0.025	0
0.035	0.025	0
0.045	0.025	0
0.055	0.025	0
0.065	0.025	0
0.075	0.025	0
0.085	0.025	0
0.095	0.025	0
0.005	0.035	0
0.015	0.035	0
0.025	0.035	0
0.035	0.035	0
0.045	0.035	0
0.055	0.035	0
0.065	0.035	0
0.075	0.035	0
0.085	0.035	0
0.095	0.035	0
0.005	0.045	0
0.015	0.045	0
0.025	0.045	0
0.035	0.045	0
0.045	0.045	0
0.055	0.045	0
0.065	0.045	0
0.075	0.045	0
0.085	0.045	0
0.095	0.045	0
0.005	0.055	0
0.015	0.055	0
0.025	0.055	0
0.035	0.055	0
0.045	0.055	0
0.055	0.055	0
0.065	0.055	0
0.075	0.055	0
0.085	0.055	0
0.095	0.055	0
0.005	0.065	0
0.015	0.065	0
0.025	0.065	0
0.035	0.065	0
0.045	0.065	0
0.055	0.065	0
0.065	0.065	0
0.075	0.065	0
0.085	0.065	0
0.095	0.065	0
0.005	0.075	0
0.015	0.075	0
0.025	0.075	0
0.035	0.075	0
0.045	0.075	0
0.055	0.075	0
0.065	0.075	0
0.075	0.075	0
0.085	0.075	0
0.095	0.075	0
0.005	0.085	0
0.015	0.085	0
0.025	0.085	0
0.035	0.085	0
0.045	0.085	0
0.055	0.085	0
0.065	0.085	0
0.075	0.085	0
0.085	0.085	0
0.095	0.085	0
0.005	0.095	0
0.015	0.095	0
0.025	0.095	0
0.035	0.095	0
0.045	0.095	0
0.055	0.095	0
0.065	0.095	0
0.075	0.095	0
0.085	0.095	0
0.095	0.095	0
